,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Day,Month,Year
36,ART_AND_DESIGN,4.7,8145,24000.0,500000,Free,0.0,Everyone,Art & Design;Creativity,2,8,2018
37,ART_AND_DESIGN,4.1,36639,,5000000,Free,0.0,Everyone,Art & Design,14,7,2018
38,ART_AND_DESIGN,4.7,158,11000.0,10000,Free,0.0,Everyone,Art & Design,29,11,2017
39,ART_AND_DESIGN,4.0,591,9.4,500000,Free,0.0,Everyone,Art & Design,31,3,2018
40,ART_AND_DESIGN,4.2,117,15000.0,10000,Free,0.0,Everyone,Art & Design,20,7,2018
41,ART_AND_DESIGN,4.5,176,10000.0,100000,Free,0.0,Everyone,Art & Design,2,4,2018
42,ART_AND_DESIGN,4.4,295221,,10000000,Free,0.0,Everyone,Art & Design,30,7,2018
43,ART_AND_DESIGN,3.8,2206,1.2,100000,Free,0.0,Everyone,Art & Design;Creativity,15,4,2018
44,ART_AND_DESIGN,4.2,26,12000.0,10000,Free,0.0,Everyone,Art & Design,3,1,2018
45,ART_AND_DESIGN,4.7,174531,24000.0,10000000,Free,0.0,Everyone,Art & Design,31,7,2018
46,ART_AND_DESIGN,4.6,1070,26000.0,100000,Free,0.0,Everyone,Art & Design,14,11,2017
47,ART_AND_DESIGN,4.2,85,8.0,100000,Free,0.0,Everyone,Art & Design,17,12,2017
48,ART_AND_DESIGN,4.3,845,7.9,100000,Free,0.0,Everyone,Art & Design,28,5,2018
49,AUTO_AND_VEHICLES,4.2,367,25000.0,100000,Free,0.0,Everyone,Auto & Vehicles,10,5,2018
50,AUTO_AND_VEHICLES,4.0,1598,56000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,26,7,2018
51,AUTO_AND_VEHICLES,3.8,284,57000.0,100000,Free,0.0,Everyone,Auto & Vehicles,26,7,2018
52,AUTO_AND_VEHICLES,4.6,17057,,1000000,Free,0.0,Everyone,Auto & Vehicles,30,7,2018
53,AUTO_AND_VEHICLES,3.9,129,35000.0,100000,Free,0.0,Everyone,Auto & Vehicles,26,7,2018
54,AUTO_AND_VEHICLES,4.3,542,33000.0,100000,Free,0.0,Everyone,Auto & Vehicles,31,7,2018
55,AUTO_AND_VEHICLES,4.9,10479,33000.0,100000,Free,0.0,Everyone,Auto & Vehicles,18,7,2018
56,AUTO_AND_VEHICLES,4.4,805,5.6,50000,Free,0.0,Everyone,Auto & Vehicles,29,7,2018
57,AUTO_AND_VEHICLES,4.2,129,54000.0,100000,Free,0.0,Everyone,Auto & Vehicles,26,7,2018
58,AUTO_AND_VEHICLES,4.0,1403,201.0,100000,Free,0.0,Everyone,Auto & Vehicles,26,8,2014
59,AUTO_AND_VEHICLES,3.9,3971,3.6,100000,Free,0.0,Everyone,Auto & Vehicles,30,7,2018
60,AUTO_AND_VEHICLES,4.6,534,5.7,10000,Free,0.0,Everyone,Auto & Vehicles,8,7,2018
61,AUTO_AND_VEHICLES,4.9,7774,17000.0,100000,Free,0.0,Everyone,Auto & Vehicles,3,7,2018
62,AUTO_AND_VEHICLES,4.3,38846,8.6,1000000,Free,0.0,Everyone,Auto & Vehicles,28,7,2018
63,AUTO_AND_VEHICLES,4.6,2431,2.4,100000,Free,0.0,Everyone,Auto & Vehicles,12,6,2018
64,AUTO_AND_VEHICLES,4.9,6090,27000.0,100000,Free,0.0,Everyone,Auto & Vehicles,3,7,2018
65,AUTO_AND_VEHICLES,3.9,295,2.7,10000,Free,0.0,Everyone,Auto & Vehicles,30,7,2018
66,AUTO_AND_VEHICLES,4.0,190,2.5,50000,Free,0.0,Everyone,Auto & Vehicles,14,10,2016
67,AUTO_AND_VEHICLES,4.3,40211,,5000000,Free,0.0,Everyone,Auto & Vehicles,30,7,2018
68,AUTO_AND_VEHICLES,3.9,356,,100000,Free,0.0,Everyone,Auto & Vehicles,25,5,2018
69,AUTO_AND_VEHICLES,4.2,52530,7.0,5000000,Free,0.0,Everyone,Auto & Vehicles,16,7,2018
70,AUTO_AND_VEHICLES,4.8,116986,35000.0,5000000,Free,0.0,Everyone,Auto & Vehicles,2,8,2018
71,AUTO_AND_VEHICLES,3.6,1379,16000.0,500000,Free,0.0,Everyone,Auto & Vehicles,2,8,2018
72,AUTO_AND_VEHICLES,4.2,271920,16000.0,10000000,Free,0.0,Teen,Auto & Vehicles,11,7,2018
73,AUTO_AND_VEHICLES,4.8,736,,100000,Free,0.0,Everyone,Auto & Vehicles,29,7,2018
74,AUTO_AND_VEHICLES,4.8,7021,17000.0,500000,Free,0.0,Everyone,Auto & Vehicles,27,7,2018
75,AUTO_AND_VEHICLES,4.6,197,3.4,50000,Free,0.0,Everyone,Auto & Vehicles,14,6,2018
76,AUTO_AND_VEHICLES,4.5,737,8.9,100000,Free,0.0,Everyone,Auto & Vehicles,8,6,2018
77,AUTO_AND_VEHICLES,4.3,3574,3.9,1000000,Free,0.0,Everyone 10+,Auto & Vehicles,4,7,2018
78,AUTO_AND_VEHICLES,4.5,994,2.9,100000,Free,0.0,Everyone,Auto & Vehicles,27,3,2018
79,AUTO_AND_VEHICLES,4.9,197136,38000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,15,7,2018
80,AUTO_AND_VEHICLES,3.9,142,32000.0,50000,Free,0.0,Everyone,Auto & Vehicles,24,7,2018
81,AUTO_AND_VEHICLES,4.4,15168,37000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,27,7,2018
82,AUTO_AND_VEHICLES,4.0,2155,15000.0,500000,Free,0.0,Everyone,Auto & Vehicles,30,7,2018
83,AUTO_AND_VEHICLES,4.3,138,5.4,100000,Free,0.0,Everyone,Auto & Vehicles,23,7,2018
84,AUTO_AND_VEHICLES,3.7,5414,18000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,23,7,2018
85,AUTO_AND_VEHICLES,4.4,21777,,1000000,Free,0.0,Everyone,Auto & Vehicles,4,8,2018
86,AUTO_AND_VEHICLES,4.3,348,38000.0,100000,Free,0.0,Everyone,Auto & Vehicles,29,7,2018
87,AUTO_AND_VEHICLES,3.2,250,1.1,100000,Free,0.0,Everyone,Auto & Vehicles,27,4,2018
88,AUTO_AND_VEHICLES,4.6,13372,,1000000,Free,0.0,Everyone,Auto & Vehicles,3,8,2018
89,AUTO_AND_VEHICLES,4.6,7880,,100000,Free,0.0,Everyone,Auto & Vehicles,10,5,2018
90,AUTO_AND_VEHICLES,4.5,3617,7.9,100000,Free,0.0,Everyone,Auto & Vehicles,16,5,2018
91,AUTO_AND_VEHICLES,3.7,4806,35000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,31,7,2018
92,AUTO_AND_VEHICLES,4.6,65786,,1000000,Free,0.0,Everyone,Auto & Vehicles,2,8,2018
93,AUTO_AND_VEHICLES,4.6,31433,17000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2,8,2018
94,AUTO_AND_VEHICLES,4.6,5097,19000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,23,7,2018
95,AUTO_AND_VEHICLES,4.0,1754,14000.0,500000,Free,0.0,Everyone,Auto & Vehicles,2,6,2018
96,AUTO_AND_VEHICLES,4.4,2680,2.2,500000,Free,0.0,Everyone,Auto & Vehicles,20,3,2018
97,AUTO_AND_VEHICLES,4.0,1288,4.5,100000,Free,0.0,Everyone,Auto & Vehicles,21,4,2018
98,BEAUTY,4.7,18900,17000.0,500000,Free,0.0,Everyone,Beauty,2,8,2018
99,BEAUTY,4.9,49790,14000.0,1000000,Free,0.0,Everyone,Beauty,9,11,2017
100,BEAUTY,4.7,1150,9.8,100000,Free,0.0,Everyone,Beauty,15,5,2018
101,BEAUTY,3.9,1739,21000.0,500000,Free,0.0,Everyone,Beauty,12,7,2018
102,BEAUTY,3.9,32090,,1000000,Free,0.0,Everyone,Beauty,24,10,2016
103,BEAUTY,4.2,2225,52000.0,500000,Free,0.0,Everyone,Beauty,28,2,2018
104,BEAUTY,4.6,4369,14000.0,100000,Free,0.0,Everyone,Beauty,25,7,2018
105,BEAUTY,4.3,8572,25000.0,1000000,Free,0.0,Everyone,Beauty,10,5,2018
106,BEAUTY,4.7,964,9.0,50000,Free,0.0,Everyone,Beauty,21,6,2018
107,BEAUTY,4.7,42050,,1000000,Free,0.0,Everyone,Beauty,5,6,2018
108,BEAUTY,4.8,104,12000.0,10000,Free,0.0,Everyone,Beauty,26,6,2018
109,BEAUTY,4.2,17934,,1000000,Free,0.0,Everyone,Beauty,12,9,2017
110,BEAUTY,4.3,601,35000.0,100000,Free,0.0,Everyone,Beauty,2,6,2018
111,BEAUTY,4.5,36,6.7,10000,Free,0.0,Everyone,Beauty,26,7,2018
112,BEAUTY,4.1,187,30000.0,50000,Free,0.0,Teen,Beauty,24,7,2018
113,BEAUTY,,182,5.7,100000,Free,0.0,Everyone 10+,Beauty,20,9,2017
114,BEAUTY,4.2,30,2.9,10000,Free,0.0,Everyone,Beauty,9,4,2018
115,BEAUTY,4.5,134,17000.0,10000,Free,0.0,Everyone,Beauty,1,3,2018
116,BEAUTY,4.4,74,2.9,10000,Free,0.0,Everyone,Beauty,5,4,2018
117,BEAUTY,4.0,113715,,10000000,Free,0.0,Everyone,Beauty,3,8,2017
118,BEAUTY,4.1,3595,,500000,Free,0.0,Everyone,Beauty,24,5,2018
119,BEAUTY,4.1,9315,2.6,1000000,Free,0.0,Everyone,Beauty,21,11,2017
120,BEAUTY,4.4,75,4.2,50000,Free,0.0,Everyone,Beauty,18,10,2017
121,BEAUTY,4.6,38,7.1,10000,Free,0.0,Everyone,Beauty,29,5,2018
122,BEAUTY,4.5,26834,57000.0,1000000,Free,0.0,Everyone,Beauty,24,7,2018
123,BEAUTY,,119,3.7,50000,Free,0.0,Everyone,Beauty,23,7,2018
124,BEAUTY,3.9,2277,22000.0,500000,Free,0.0,Everyone,Beauty,12,7,2018
125,BEAUTY,4.4,2280,24000.0,500000,Free,0.0,Everyone,Beauty,14,5,2018
126,BEAUTY,,654,7.4,100000,Free,0.0,Teen,Beauty,17,7,2018
127,BEAUTY,4.6,184,21000.0,10000,Free,0.0,Everyone,Beauty,2,7,2018
128,BEAUTY,3.8,9,3.4,5000,Free,0.0,Everyone,Beauty,7,6,2018
129,BEAUTY,,77,2.9,10000,Free,0.0,Mature 17+,Beauty,8,8,2017
130,BEAUTY,,35,3.1,10000,Free,0.0,Everyone 10+,Beauty,11,12,2017
131,BEAUTY,4.0,364,6.4,100000,Free,0.0,Everyone,Beauty,24,5,2018
132,BEAUTY,4.3,18,3.2,5000,Free,0.0,Everyone,Beauty,1,6,2018
133,BEAUTY,4.5,473,8.2,100000,Free,0.0,Mature 17+,Beauty,1,3,2017
134,BEAUTY,,30,9.9,10000,Free,0.0,Mature 17+,Beauty,24,1,2018
135,BEAUTY,4.1,66,2.9,10000,Free,0.0,Everyone,Beauty,5,4,2018
136,BEAUTY,3.7,3871,23000.0,1000000,Free,0.0,Everyone,Beauty,30,7,2018
137,BEAUTY,4.7,257,4.6,50000,Free,0.0,Everyone,Beauty,7,8,2017
138,BEAUTY,4.2,62,3.1,10000,Free,0.0,Everyone,Beauty,28,5,2018
139,BOOKS_AND_REFERENCE,4.6,2914724,,100000000,Free,0.0,Teen,Books & Reference,1,8,2018
140,BOOKS_AND_REFERENCE,4.5,1857,4.9,50000,Free,0.0,Everyone,Books & Reference,3,8,2018
141,BOOKS_AND_REFERENCE,4.6,4478,9.5,100000,Free,0.0,Everyone 10+,Books & Reference,31,7,2017
142,BOOKS_AND_REFERENCE,4.4,577550,,10000000,Free,0.0,Everyone,Books & Reference,2,8,2018
143,BOOKS_AND_REFERENCE,4.2,814080,,100000000,Free,0.0,Teen,Books & Reference,27,7,2018
144,BOOKS_AND_REFERENCE,4.5,246315,,10000000,Free,0.0,Everyone,Books & Reference,17,7,2015
145,BOOKS_AND_REFERENCE,4.5,454060,,10000000,Free,0.0,Everyone,Books & Reference,18,5,2018
146,BOOKS_AND_REFERENCE,4.5,155446,,10000000,Free,0.0,Teen,Books & Reference,25,4,2018
147,BOOKS_AND_REFERENCE,4.5,418,4.2,100000,Free,0.0,Everyone,Books & Reference,27,3,2018
148,BOOKS_AND_REFERENCE,4.4,22486,5.4,1000000,Free,0.0,Teen,Books & Reference,6,6,2018
149,BOOKS_AND_REFERENCE,4.5,203130,,10000000,Free,0.0,Everyone,Books & Reference,28,6,2018
150,BOOKS_AND_REFERENCE,4.6,1435,2.8,500000,Free,0.0,Everyone,Books & Reference,21,1,2018
151,BOOKS_AND_REFERENCE,4.8,116507,5.0,1000000,Free,0.0,Teen,Books & Reference,1,8,2018
152,BOOKS_AND_REFERENCE,3.9,1433233,,1000000000,Free,0.0,Teen,Books & Reference,3,8,2018
153,BOOKS_AND_REFERENCE,4.6,90468,5.9,5000000,Free,0.0,Everyone,Books & Reference,27,5,2018
154,BOOKS_AND_REFERENCE,4.2,860,13000.0,100000,Free,0.0,Everyone,Books & Reference,17,7,2018
155,BOOKS_AND_REFERENCE,4.1,363934,7.1,10000000,Free,0.0,Everyone,Books & Reference,11,7,2018
156,BOOKS_AND_REFERENCE,4.7,967,6.7,500000,Free,0.0,Everyone,Books & Reference,4,8,2018
157,BOOKS_AND_REFERENCE,4.2,87873,,10000000,Free,0.0,Teen,Books & Reference,28,5,2018
158,BOOKS_AND_REFERENCE,4.3,17506,17000.0,1000000,Free,0.0,Everyone,Books & Reference,20,7,2018
159,BOOKS_AND_REFERENCE,3.3,1862,19000.0,1000000,Free,0.0,Everyone,Books & Reference,27,4,2018
160,BOOKS_AND_REFERENCE,4.6,2084,6.7,500000,Free,0.0,Everyone,Books & Reference,17,5,2018
161,BOOKS_AND_REFERENCE,4.8,47303,21000.0,1000000,Free,0.0,Everyone,Books & Reference,2,6,2018
162,BOOKS_AND_REFERENCE,4.7,19080,,500000,Free,0.0,Everyone,Books & Reference,25,4,2018
163,BOOKS_AND_REFERENCE,,161,2.7,10000,Free,0.0,Everyone,Books & Reference,13,7,2018
164,BOOKS_AND_REFERENCE,4.1,85842,37000.0,5000000,Free,0.0,Everyone,Books & Reference,25,6,2018
165,BOOKS_AND_REFERENCE,4.6,7831,15000.0,100000,Free,0.0,Teen,Books & Reference,4,7,2018
166,BOOKS_AND_REFERENCE,4.1,91615,23000.0,5000000,Free,0.0,Mature 17+,Books & Reference,29,6,2018
167,BOOKS_AND_REFERENCE,4.6,4620,19000.0,500000,Free,0.0,Everyone,Books & Reference,23,11,2017
168,BOOKS_AND_REFERENCE,4.7,21336,23000.0,1000000,Free,0.0,Everyone,Books & Reference,20,6,2018
169,BOOKS_AND_REFERENCE,4.5,26875,73000.0,500000,Free,0.0,Everyone,Books & Reference,1,8,2018
170,BOOKS_AND_REFERENCE,3.9,1778,4.9,500000,Free,0.0,Mature 17+,Books & Reference,16,10,2014
171,BOOKS_AND_REFERENCE,4.4,2709,6.8,1000000,Free,0.0,Everyone,Books & Reference,11,7,2018
172,BOOKS_AND_REFERENCE,4.3,64513,,5000000,Free,0.0,Everyone,Books & Reference,31,7,2018
173,BOOKS_AND_REFERENCE,4.2,8342,,10000000,Free,0.0,Everyone,Books & Reference,28,8,2017
174,BOOKS_AND_REFERENCE,4.5,527,2.9,100000,Free,0.0,Everyone,Books & Reference,31,3,2018
175,BOOKS_AND_REFERENCE,4.4,1322,3.5,100000,Free,0.0,Everyone,Books & Reference,28,5,2018
176,BOOKS_AND_REFERENCE,3.4,1680,4.0,100000,Free,0.0,Everyone,Books & Reference,20,8,2016
177,BOOKS_AND_REFERENCE,4.9,2739,21000.0,50000,Free,0.0,Everyone,Books & Reference,17,7,2018
178,BOOKS_AND_REFERENCE,4.6,1065,2.3,500000,Free,0.0,Everyone,Books & Reference,16,6,2018
179,BOOKS_AND_REFERENCE,4.4,233757,,10000000,Free,0.0,Everyone,Books & Reference,1,5,2018
180,BOOKS_AND_REFERENCE,,2,7.2,50000,Free,0.0,Everyone,Books & Reference,15,6,2018
181,BOOKS_AND_REFERENCE,4.4,8788,10000.0,1000000,Free,0.0,Everyone,Books & Reference,28,7,2018
182,BOOKS_AND_REFERENCE,4.4,51269,6.1,1000000,Free,0.0,Everyone,Books & Reference,19,7,2018
183,BOOKS_AND_REFERENCE,4.4,30105,2.1,1000000,Free,0.0,Everyone,Books & Reference,29,7,2018
184,BOOKS_AND_REFERENCE,3.5,156,42000.0,500000,Free,0.0,Everyone,Books & Reference,15,2,2018
185,BOOKS_AND_REFERENCE,,114,7.3,100000,Free,0.0,Everyone,Books & Reference,7,8,2015
186,BOOKS_AND_REFERENCE,4.4,341157,30000.0,10000000,Free,0.0,Everyone 10+,Books & Reference,20,3,2018
187,BUSINESS,4.1,16129,,10000000,Free,0.0,Everyone,Business,30,7,2018
188,BUSINESS,4.3,674730,,50000000,Free,0.0,Everyone,Business,21,5,2018
189,BUSINESS,4.4,1254730,,10000000,Free,0.0,Everyone,Business,3,8,2018
190,BUSINESS,4.3,85185,29000.0,5000000,Free,0.0,Everyone,Business,17,7,2018
191,BUSINESS,4.3,32584,,1000000,Free,0.0,Everyone,Business,4,5,2018
192,BUSINESS,4.1,217730,,50000000,Free,0.0,Everyone,Business,2,4,2018
193,BUSINESS,4.4,70991,,5000000,Free,0.0,Everyone,Business,24,7,2018
194,BUSINESS,4.3,1002861,35000.0,100000000,Free,0.0,Everyone,Business,2,8,2018
195,BUSINESS,3.9,16589,9.1,1000000,Free,0.0,Everyone,Business,14,6,2018
196,BUSINESS,4.8,148945,25000.0,1000000,Free,0.0,Everyone,Business,19,7,2018
197,BUSINESS,4.5,4458,3.9,500000,Free,0.0,Everyone,Business,8,7,2018
198,BUSINESS,4.4,62272,18000.0,10000000,Free,0.0,Everyone,Business,26,6,2018
199,BUSINESS,4.0,8941,12000.0,5000000,Free,0.0,Everyone,Business,31,7,2018
200,BUSINESS,4.3,46353,21000.0,1000000,Free,0.0,Everyone,Business,13,4,2016
201,BUSINESS,4.0,1279184,,50000000,Free,0.0,Everyone,Business,2,8,2018
202,BUSINESS,4.2,88073,,10000000,Free,0.0,Everyone,Business,9,7,2018
203,BUSINESS,4.5,67000,,1000000,Free,0.0,Everyone,Business,17,7,2018
204,BUSINESS,4.2,159872,,10000000,Free,0.0,Everyone,Business,31,7,2018
205,BUSINESS,4.2,30847,55000.0,5000000,Free,0.0,Everyone,Business,8,2,2018
206,BUSINESS,4.6,188841,3.2,5000000,Free,0.0,Everyone,Business,21,6,2018
207,BUSINESS,4.1,11622,,5000000,Free,0.0,Everyone,Business,26,7,2018
208,BUSINESS,4.6,95912,,5000000,Free,0.0,Everyone,Business,30,7,2018
209,BUSINESS,3.1,4034,23.0,100000,Free,0.0,Everyone,Business,11,9,2015
210,BUSINESS,3.9,45964,16000.0,1000000,Free,0.0,Everyone,Business,18,7,2018
211,BUSINESS,4.3,14955,,1000000,Free,0.0,Everyone,Business,30,7,2018
212,BUSINESS,4.1,6903,14000.0,1000000,Free,0.0,Everyone,Business,10,7,2018
213,BUSINESS,4.4,31614,37000.0,10000000,Free,0.0,Everyone,Business,20,7,2018
214,BUSINESS,4.1,23055,,5000000,Free,0.0,Everyone,Business,8,6,2018
215,BUSINESS,4.1,19023,,1000000,Free,0.0,Everyone,Business,1,8,2018
216,BUSINESS,4.5,207372,11000.0,5000000,Free,0.0,Everyone,Business,2,8,2018
217,BUSINESS,4.4,1225,25000.0,100000,Free,0.0,Everyone,Business,1,8,2018
218,BUSINESS,4.4,380837,7.3,10000000,Free,0.0,Everyone,Business,4,7,2018
219,BUSINESS,4.3,10600,6.5,1000000,Free,0.0,Everyone,Business,1,8,2018
220,BUSINESS,4.4,74359,25000.0,1000000,Free,0.0,Everyone,Business,27,7,2018
221,BUSINESS,4.6,822,3.1,100000,Free,0.0,Everyone,Business,8,6,2018
222,BUSINESS,4.2,80805,,5000000,Free,0.0,Everyone,Business,26,2,2018
223,BUSINESS,4.4,2287,1.5,1000000,Free,0.0,Everyone,Business,26,3,2018
224,BUSINESS,4.7,4162,7.5,100000,Free,0.0,Everyone,Business,24,7,2018
225,BUSINESS,3.8,14760,8.6,50000000,Free,0.0,Everyone,Business,31,1,2018
226,BUSINESS,3.9,23243,,5000000,Free,0.0,Everyone,Business,25,6,2018
227,BUSINESS,,9,1.2,100000,Free,0.0,Everyone,Business,9,4,2018
228,BUSINESS,4.3,8978,,1000000,Free,0.0,Everyone,Business,25,7,2018
229,BUSINESS,4.2,80805,,5000000,Free,0.0,Everyone,Business,26,2,2018
230,BUSINESS,4.4,42492,,1000000,Free,0.0,Everyone,Business,11,7,2018
231,BUSINESS,4.7,286897,39000.0,10000000,Free,0.0,Everyone,Business,30,5,2017
232,BUSINESS,4.5,103755,14000.0,10000000,Free,0.0,Everyone,Business,11,7,2018
233,BUSINESS,4.2,46505,19000.0,1000000,Free,0.0,Everyone,Business,2,8,2018
234,BUSINESS,4.7,11442,6.8,100000,Paid,4.99,Everyone,Business,25,3,2018
235,BUSINESS,4.8,10295,39000.0,100000,Paid,4.99,Everyone,Business,11,4,2017
236,BUSINESS,4.2,159872,,10000000,Free,0.0,Everyone,Business,31,7,2018
237,BUSINESS,4.2,296,14000.0,50000,Free,0.0,Everyone,Business,15,6,2018
238,BUSINESS,4.3,29313,20000.0,5000000,Free,0.0,Everyone,Business,30,7,2018
239,BUSINESS,4.4,70991,,5000000,Free,0.0,Everyone,Business,24,7,2018
240,BUSINESS,4.4,51507,,5000000,Free,0.0,Everyone,Business,2,8,2018
241,BUSINESS,4.1,1802,26000.0,100000,Free,0.0,Everyone,Business,18,4,2018
242,BUSINESS,3.8,1383,51000.0,100000,Free,0.0,Everyone,Business,12,7,2018
243,BUSINESS,4.3,23175,41000.0,1000000,Free,0.0,Everyone,Business,13,7,2018
244,BUSINESS,3.8,5868,20000.0,500000,Free,0.0,Everyone,Business,3,7,2018
245,BUSINESS,3.5,2111,,100000,Free,0.0,Everyone,Business,30,7,2018
246,BUSINESS,4.1,5448,12000.0,500000,Free,0.0,Everyone,Business,25,7,2018
247,BUSINESS,4.6,4159,48000.0,500000,Free,0.0,Everyone,Business,20,7,2018
248,BUSINESS,4.3,20815,10000.0,1000000,Free,0.0,Everyone,Business,26,7,2018
249,BUSINESS,4.5,78662,22000.0,1000000,Free,0.0,Everyone,Business,13,2,2018
250,BUSINESS,4.1,7149,11000.0,1000000,Free,0.0,Everyone,Business,31,7,2018
251,BUSINESS,4.5,3079,8.5,100000,Free,0.0,Everyone,Business,2,8,2018
252,BUSINESS,4.6,5800,8.6,100000,Free,0.0,Everyone,Business,2,8,2018
253,BUSINESS,4.0,6989,,1000000,Free,0.0,Everyone,Business,16,7,2018
254,BUSINESS,4.2,16422,28000.0,1000000,Free,0.0,Everyone,Business,1,8,2018
255,BUSINESS,4.4,108741,28000.0,10000000,Free,0.0,Everyone,Business,20,7,2018
256,BUSINESS,4.4,31614,37000.0,10000000,Free,0.0,Everyone,Business,20,7,2018
257,BUSINESS,4.0,624,9.0,100000,Free,0.0,Everyone,Business,22,3,2018
258,BUSINESS,4.2,1661,46000.0,100000,Free,0.0,Everyone,Business,2,8,2018
259,BUSINESS,4.2,97702,,5000000,Free,0.0,Everyone,Business,11,7,2018
260,BUSINESS,4.1,308,14000.0,50000,Free,0.0,Everyone,Business,29,5,2018
261,BUSINESS,4.0,6989,,1000000,Free,0.0,Everyone,Business,16,7,2018
262,BUSINESS,3.8,5211,26000.0,1000000,Free,0.0,Everyone,Business,30,7,2018
263,BUSINESS,3.9,1058,23000.0,500000,Free,0.0,Everyone,Business,29,6,2018
264,BUSINESS,3.9,78172,,10000000,Free,0.0,Everyone,Business,2,8,2018
265,BUSINESS,4.2,159872,,10000000,Free,0.0,Everyone,Business,31,7,2018
266,BUSINESS,4.2,296,14000.0,50000,Free,0.0,Everyone,Business,15,6,2018
267,BUSINESS,4.3,29313,20000.0,5000000,Free,0.0,Everyone,Business,30,7,2018
